date,state,district,market,commodity,min_price,max_price,modal_price,arrival_quantity,temperature_max,temperature_min,precipitation,rain,latitude,longitude,year,msp_price,month,day_of_year,month_sin,month_cos,price_lag_1,price_lag_7,price_lag_14,price_lag_30,temp_max_lag_30,temp_max_lag_90,price_volatility_7d,price_volatility_30d,rain_cum_30d,rain_cum_90d,price_to_msp_ratio,near_msp_floor
2024-03-17,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4859.92,5008.53,4942.37,79.61,30.4,23.85,1.5,1.5,18.4386,79.1288,2024,7121,3,77,1.0,6.123233995736766e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6940556101671114,1
2024-03-18,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4857.97,5108.63,4970.88,91.7,33.15,23.85,0.3,0.3,18.4386,79.1288,2024,7121,3,78,1.0,6.123233995736766e-17,4942.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6980592613396995,1
2024-03-19,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4911.9,5087.51,5004.53,30.79,34.4,23.15,5.9,5.9,18.4386,79.1288,2024,7121,3,79,1.0,6.123233995736766e-17,4970.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7027847212470159,1
2024-03-20,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4863.99,5059.78,4963.39,77.47,30.85,20.7,0.1,0.1,18.4386,79.1288,2024,7121,3,80,1.0,6.123233995736766e-17,5004.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6970074427748912,1
2024-03-21,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4753.77,4945.34,4814.85,39.67,32.9,20.65,0.1,0.1,18.4386,79.1288,2024,7121,3,81,1.0,6.123233995736766e-17,4963.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6761480129195339,1
2024-03-22,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4690.6,4906.17,4825.52,62.45,34.5,20.8,0.0,0.0,18.4386,79.1288,2024,7121,3,82,1.0,6.123233995736766e-17,4814.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6776463979778121,1
2024-03-23,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4867.76,5062.03,4927.03,95.84,35.5,21.9,0.0,0.0,18.4386,79.1288,2024,7121,3,83,1.0,6.123233995736766e-17,4825.52,0.0,0.0,0.0,0.0,0.0,73.18825722230329,0.0,0.0,0.0,0.6919014183401208,1
2024-03-24,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4899.58,5156.69,5007.06,29.1,35.35,23.0,0.1,0.1,18.4386,79.1288,2024,7121,3,84,1.0,6.123233995736766e-17,4927.03,4942.37,0.0,0.0,0.0,0.0,80.06448085910534,0.0,0.0,0.0,0.703140008425783,1
2024-03-25,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5001.89,5214.11,5125.18,37.68,36.1,23.4,0.0,0.0,18.4386,79.1288,2024,7121,3,85,1.0,6.123233995736766e-17,5007.06,4970.88,0.0,0.0,0.0,0.0,109.04208078055167,0.0,0.0,0.0,0.7197275663530404,1
2024-03-26,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4726.1,5011.37,4875.0,19.2,36.95,23.55,0.0,0.0,18.4386,79.1288,2024,7121,3,86,1.0,6.123233995736766e-17,5125.18,5004.53,0.0,0.0,0.0,0.0,109.7311424736451,0.0,0.0,0.0,0.6845948602724337,1
2024-03-27,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5021.23,5235.24,5123.84,54.21,36.45,23.75,0.0,0.0,18.4386,79.1288,2024,7121,3,87,1.0,6.123233995736766e-17,4875.0,4963.39,0.0,0.0,0.0,0.0,131.49263399612192,0.0,0.0,0.0,0.7195393905350372,1
2024-03-28,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5014.22,5198.65,5110.4,63.99,37.8,23.85,0.0,0.0,18.4386,79.1288,2024,7121,3,88,1.0,6.123233995736766e-17,5123.84,4814.85,0.0,0.0,0.0,0.0,125.58674382198762,0.0,0.0,0.0,0.7176520151664092,1
2024-03-29,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4835.69,5050.3,4980.2,66.83,37.35,25.85,0.0,0.0,18.4386,79.1288,2024,7121,3,89,1.0,6.123233995736766e-17,5110.4,4825.52,0.0,0.0,0.0,0.0,101.18201814175377,0.0,0.0,0.0,0.6993680662828254,1
2024-03-30,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4686.65,4973.45,4828.96,54.44,37.7,24.4,0.0,0.0,18.4386,79.1288,2024,7121,3,90,1.0,6.123233995736766e-17,4980.2,4927.03,0.0,0.0,0.0,0.0,121.2090198592421,0.0,0.0,0.0,0.6781294761971634,1
2024-03-31,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5046.37,5251.53,5173.83,17.15,36.7,26.15,0.0,0.0,18.4386,79.1288,2024,7121,3,91,1.0,6.123233995736766e-17,4828.96,5007.06,4942.37,0.0,0.0,0.0,136.583725534752,0.0,0.0,0.0,0.7265594719842718,1
2024-04-01,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4780.93,5058.13,4917.36,32.54,38.25,24.25,0.1,0.1,18.4386,79.1288,2024,7121,4,92,0.8660254037844387,-0.4999999999999998,5173.83,5125.18,4970.88,0.0,0.0,0.0,135.29555757673657,0.0,0.0,0.0,0.69054346299677,1
2024-04-02,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4850.22,5070.54,4984.98,12.38,38.3,25.15,0.0,0.0,18.4386,79.1288,2024,7121,4,93,0.8660254037844387,-0.4999999999999998,4917.36,4875.0,5004.53,0.0,0.0,0.0,124.09716602036406,0.0,0.0,0.0,0.7000393203201797,1
2024-04-03,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4857.48,5086.11,4975.93,34.33,36.7,25.15,0.0,0.0,18.4386,79.1288,2024,7121,4,94,0.8660254037844387,-0.4999999999999998,4984.98,5123.84,4963.39,0.0,0.0,0.0,115.16028604059825,0.0,0.0,0.0,0.6987684314000843,1
2024-04-04,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4897.24,5142.22,5017.96,20.76,39.45,25.5,0.1,0.1,18.4386,79.1288,2024,7121,4,95,0.8660254037844387,-0.4999999999999998,4975.93,5110.4,4814.85,0.0,0.0,0.0,104.67132237901383,0.0,0.0,0.0,0.7046706923184946,1
2024-04-05,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4874.29,5062.41,4958.02,90.92,39.6,26.9,0.0,0.0,18.4386,79.1288,2024,7121,4,96,0.8660254037844387,-0.4999999999999998,5017.96,4980.2,4825.52,0.0,0.0,0.0,105.09607964687768,0.0,0.0,0.0,0.6962533352057296,1
2024-04-06,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4861.02,5056.12,4967.25,24.73,39.9,25.7,0.0,0.0,18.4386,79.1288,2024,7121,4,97,0.8660254037844387,-0.4999999999999998,4958.02,4828.96,4927.03,0.0,0.0,0.0,82.66955580588854,0.0,0.0,0.0,0.697549501474512,1
2024-04-07,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4910.38,5181.94,5057.2,39.85,40.3,27.35,0.0,0.0,18.4386,79.1288,2024,7121,4,98,0.8660254037844387,-0.4999999999999998,4967.25,5173.83,5007.06,0.0,0.0,0.0,44.64986690109742,0.0,0.0,0.0,0.7101811543322567,1
2024-04-08,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4993.36,5210.15,5090.3,18.86,37.3,27.15,0.1,0.1,18.4386,79.1288,2024,7121,4,99,0.8660254037844387,-0.4999999999999998,5057.2,4917.36,5125.18,0.0,0.0,0.0,50.012305390536575,0.0,0.0,0.0,0.7148293778963629,1
2024-04-09,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4756.74,4922.95,4840.98,70.69,35.75,25.55,0.6,0.6,18.4386,79.1288,2024,7121,4,100,0.8660254037844387,-0.4999999999999998,5090.3,4984.98,4875.0,0.0,0.0,0.0,80.8614819422993,0.0,0.0,0.0,0.679817441370594,1
2024-04-10,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4951.35,5221.14,5078.79,33.44,37.05,26.25,0.0,0.0,18.4386,79.1288,2024,7121,4,101,0.8660254037844387,-0.4999999999999998,4840.98,4975.93,5123.84,0.0,0.0,0.0,87.61929867329513,0.0,0.0,0.0,0.7132130318775453,1
2024-04-11,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4862.12,5077.6,4989.9,34.5,33.6,23.1,4.2,4.2,18.4386,79.1288,2024,7121,4,102,0.8660254037844387,-0.4999999999999998,5078.79,5017.96,5110.4,0.0,0.0,0.0,87.38229882315485,0.0,0.0,0.0,0.7007302345176238,1
2024-04-12,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5048.46,5246.22,5099.94,80.32,32.05,23.35,8.5,8.5,18.4386,79.1288,2024,7121,4,103,0.8660254037844387,-0.4999999999999998,4989.9,4958.02,4980.2,0.0,0.0,0.0,92.98242340305465,0.0,0.0,0.0,0.7161831203482656,1
2024-04-13,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4964.54,5168.35,5046.12,72.36,34.45,25.4,0.0,0.0,18.4386,79.1288,2024,7121,4,104,0.8660254037844387,-0.4999999999999998,5099.94,4967.25,4828.96,0.0,0.0,0.0,90.58869957382323,0.0,0.0,0.0,0.708625193090858,1
2024-04-14,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4751.48,4893.09,4804.64,78.87,37.0,24.9,0.0,0.0,18.4386,79.1288,2024,7121,4,105,0.8660254037844387,-0.4999999999999998,5046.12,5057.2,5173.83,0.0,0.0,0.0,122.25947580375752,0.0,0.0,0.0,0.6747142255301222,1
2024-04-15,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5019.91,5309.84,5167.27,44.65,38.5,25.75,0.0,0.0,18.4386,79.1288,2024,7121,4,106,0.8660254037844387,-0.4999999999999998,4804.64,5090.3,4917.36,0.0,0.0,0.0,135.24541673424332,105.49540457170214,21.6,0.0,0.7256382530543464,1
2024-04-16,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4866.36,5124.1,4988.74,79.0,38.6,25.95,0.3,0.3,18.4386,79.1288,2024,7121,4,107,0.8660254037844387,-0.4999999999999998,5167.27,4840.98,4984.98,4942.37,30.4,0.0,115.68742321651183,105.12786279672427,20.400000000000002,0.0,0.7005673360483078,1
2024-04-17,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4985.01,5151.92,5046.34,49.11,39.55,27.0,0.0,0.0,18.4386,79.1288,2024,7121,4,108,0.8660254037844387,-0.4999999999999998,4988.74,5078.79,4975.93,4970.88,33.15,0.0,113.81036162971208,105.5432956587283,20.1,0.0,0.7086560876281421,1
2024-04-18,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5051.99,5219.07,5103.46,63.84,40.3,27.8,0.0,0.0,18.4386,79.1288,2024,7121,4,109,0.8660254037844387,-0.4999999999999998,5046.34,4989.9,5017.96,5004.53,34.4,0.0,116.7892472015507,107.44276809795858,14.200000000000003,0.0,0.7166774329448111,1
2024-04-19,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4937.4,5102.96,4998.58,13.63,39.45,27.15,0.0,0.0,18.4386,79.1288,2024,7121,4,110,0.8660254037844387,-0.4999999999999998,5103.46,5099.94,4958.02,4963.39,30.85,0.0,113.88094600021947,107.26248472788602,14.100000000000001,0.0,0.7019491644431962,1
2024-04-20,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4855.04,5077.89,4939.84,14.43,37.8,27.6,4.7999997,4.7999997,18.4386,79.1288,2024,7121,4,111,0.8660254037844387,-0.4999999999999998,4998.58,5046.12,4967.25,4814.85,32.9,0.0,117.1914366081662,102.23192560708868,18.7999997,0.0,0.6937003229883444,1
2024-04-21,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4924.37,5061.91,5009.52,32.64,39.1,28.7,0.4,0.4,18.4386,79.1288,2024,7121,4,112,0.8660254037844387,-0.4999999999999998,4939.84,4804.64,5057.2,4825.52,34.5,0.0,76.88827673969651,96.666422474523,19.1999997,0.0,0.7034854655245051,1
2024-04-22,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4931.45,5169.87,5075.29,80.39,38.05,26.6,0.0,0.0,18.4386,79.1288,2024,7121,4,113,0.8660254037844387,-0.4999999999999998,5009.52,5167.27,5090.3,4927.03,35.5,0.0,55.70772926623498,96.1822619654039,19.1999997,0.0,0.7127215278752984,1
2024-04-23,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4819.2,4982.23,4930.74,36.9,36.85,25.2,0.0,0.0,18.4386,79.1288,2024,7121,4,114,0.8660254037844387,-0.4999999999999998,5075.29,4988.74,4840.98,5007.06,35.35,0.0,65.17982199452707,97.34064561022836,19.099999699999998,0.0,0.6924224125825025,1
2024-04-24,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5057.69,5295.51,5152.67,30.39,37.75,26.3,0.0,0.0,18.4386,79.1288,2024,7121,4,115,0.8660254037844387,-0.4999999999999998,4930.74,5046.34,5078.79,5125.18,36.1,0.0,83.5498884613553,98.58165205764085,19.099999699999998,0.0,0.7235879792164022,1
2024-04-25,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4907.21,5130.93,5008.29,50.75,38.8,24.7,0.0,0.0,18.4386,79.1288,2024,7121,4,116,0.8660254037844387,-0.4999999999999998,5152.67,5103.46,4989.9,4875.0,36.95,0.0,77.10087622255566,95.179516392392,19.099999699999998,0.0,0.703312736975144,1
