date,state,district,market,commodity,min_price,max_price,modal_price,arrival_quantity,source,temperature_max,temperature_min,precipitation,rain,latitude,longitude,year,msp_price
2026-03-17,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4906.32,5113.97,5034.02,31.53,gov_data,,,,,,,2026,
2026-03-17,Telangana,Khammam,Khammam Mandi,Cotton,4962.11,5118.54,5033.28,23.65,gov_data,,,,,,,2026,
2026-03-17,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4757.49,4970.57,4900.77,33.01,gov_data,,,,,,,2026,
2026-03-17,Telangana,Nizamabad,Nizamabad Mandi,Cotton,5020.13,5202.9,5089.97,84.73,gov_data,,,,,,,2026,
2026-03-17,Telangana,Warangal,Warangal Mandi,Cotton,4935.82,5111.38,5001.44,86.95,gov_data,,,,,,,2026,
2026-03-17,Telangana,Karimnagar,Karimnagar Mandi,Maize,4784.3,5046.64,4919.32,66.85,gov_data,,,,,,,2026,
2026-03-17,Telangana,Khammam,Khammam Mandi,Maize,4871.67,5135.86,5005.14,10.28,gov_data,,,,,,,2026,
2026-03-17,Telangana,Nalgonda,Nalgonda Mandi,Maize,4795.09,4953.31,4850.84,70.15,gov_data,,,,,,,2026,
2026-03-17,Telangana,Nizamabad,Nizamabad Mandi,Maize,5084.02,5251.32,5167.99,46.36,gov_data,,,,,,,2026,
2026-03-17,Telangana,Warangal,Warangal Mandi,Maize,4848.48,5106.91,4961.35,77.37,gov_data,,,,,,,2026,
2026-03-17,Telangana,Karimnagar,Karimnagar Mandi,Red Gram,4910.7,5108.46,4966.2,50.4,gov_data,,,,,,,2026,
2026-03-17,Telangana,Khammam,Khammam Mandi,Red Gram,4934.07,5078.32,5006.75,68.82,gov_data,,,,,,,2026,
2026-03-17,Telangana,Nalgonda,Nalgonda Mandi,Red Gram,4924.63,5128.18,4992.41,16.36,gov_data,,,,,,,2026,
2026-03-17,Telangana,Nizamabad,Nizamabad Mandi,Red Gram,5129.37,5348.48,5218.93,72.17,gov_data,,,,,,,2026,
2026-03-17,Telangana,Warangal,Warangal Mandi,Red Gram,5008.51,5160.84,5060.8,85.13,gov_data,,,,,,,2026,
2026-03-17,Telangana,Karimnagar,Karimnagar Mandi,Rice,1727.04,1891.09,1826.84,77.73,gov_data,,,,,,,2026,
2026-03-17,Telangana,Khammam,Khammam Mandi,Rice,1710.88,1991.36,1856.98,89.96,gov_data,,,,,,,2026,
2026-03-17,Telangana,Nalgonda,Nalgonda Mandi,Rice,1890.43,2093.39,2021.44,56.66,gov_data,,,,,,,2026,
2026-03-17,Telangana,Nizamabad,Nizamabad Mandi,Rice,1997.82,2159.51,2061.78,73.44,gov_data,,,,,,,2026,
2026-03-17,Telangana,Warangal,Warangal Mandi,Rice,1977.34,2174.51,2076.01,45.18,gov_data,,,,,,,2026,
2026-03-16,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5050.03,5167.11,5116.81,26.69,gov_data,,,,,,,2026,
2026-03-16,Telangana,Khammam,Khammam Mandi,Cotton,4747.04,4999.61,4852.39,42.34,gov_data,,,,,,,2026,
2026-03-16,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4644.5,4865.22,4732.12,35.48,gov_data,,,,,,,2026,
2026-03-16,Telangana,Nizamabad,Nizamabad Mandi,Cotton,4862.71,5114.65,4991.45,82.75,gov_data,,,,,,,2026,
2026-03-16,Telangana,Warangal,Warangal Mandi,Cotton,4869.72,5116.5,4974.47,69.71,gov_data,,,,,,,2026,
2026-03-16,Telangana,Karimnagar,Karimnagar Mandi,Maize,4738.89,4977.0,4834.48,32.86,gov_data,,,,,,,2026,
2026-03-16,Telangana,Khammam,Khammam Mandi,Maize,5067.46,5311.85,5187.25,40.4,gov_data,,,,,,,2026,
